Scene	Day	Order Priority	Day/Night	Name	Profile Image	Dialogue	Normal UI	Alignment	Font Style	Options	Option Number	Talk Again
Meet Duckette	1	3	Day	Main Duck	2	The ONLY other reason why I picked this job. I can't waste my chances.	TRUE	Left	Italics	FALSE	0	FALSE
Meet Duckette	1	3	Day	Main Duck	2	Hello Duckette! What were the odds that we both got a job at Nestla after graduation?	TRUE	Left	Normal	FALSE	0	FALSE
Meet Duckette	1	3	Day	Duckette	4	"Uhh, and you are?"	TRUE	Right	Normal	FALSE	0	FALSE
Meet Duckette	1	3	Day	Main Duck	2	STRIKE ONE!	TRUE	Left	Italics	FALSE	0	FALSE
Meet Duckette	1	3	Day	Main Duck	2	Don't you remember me? I'm Main Duck. We both went to Purduck University and studied mechanical engineering.	TRUE	Left	Normal	FALSE	0	FALSE
Meet Duckette	1	3	Day	Duckette	4	"Hmm, are you sure? I don't recall."	TRUE	Right	Normal	FALSE	0	FALSE
Meet Duckette	1	3	Day	Main Duck	2	STRIKE 2!	TRUE	Left	Italics	FALSE	0	FALSE
Meet Duckette	1	3	Day	Main Duck	2	We were in that ME 365 together last year.	TRUE	Left	Normal	FALSE	0	FALSE
Meet Duckette	1	3	Day	Duckette	4	Oh... maybe.	TRUE	Right	Normal	FALSE	0	FALSE
Meet Duckette	1	3	Day	Main Duck	2	AND STRIKE 3! SHE OFFICIALLY DOES NOT REMEMBER ME!	TRUE	Left	Italics	FALSE	0	FALSE
Meet Duckette	1	3	Day	Main Duck	2	"H-Heh, well, I'm excited to be working with you. I hope we're on the same project!"	TRUE	Left	Normal	FALSE	0	FALSE
Meet Duckette	1	3	Day	Duckette	4	Uh ok! It was nice to meet you.	TRUE	Right	Normal	FALSE	0	FALSE
Meet Duckette	1	3	Day	Duckette	4	Oh! Did you need anything?	TRUE	Right	Normal	FALSE	0	TRUE
Meet Duckette	1	3	Day	Main Duck	2	"I need your number, but my beak feels like it's glued shut at the moment"	TRUE	Left	Italics	FALSE	0	TRUE
Meet Duckette	1	3	Day	Main Duck	2	"Uh... no, just saying hi."	TRUE	Left	Normal	FALSE	0	TRUE
Meet Donald	1	3	Day	Donald	5	You the new duck?	TRUE	Right	Normal	FALSE	0	FALSE
Meet Donald	1	3	Day	Main Duck	2	"Yup, that's me! My name is Main Duck."	TRUE	Left	Normal	FALSE	0	FALSE
Meet Donald	1	3	Day	Donald	5	I would quit if I were you.	TRUE	Right	Normal	FALSE	0	FALSE
Meet Donald	1	3	Day	Main Duck	2	What? Why?	TRUE	Left	Normal	FALSE	0	FALSE
Meet Donald	1	3	Day	Donald	5	"You're just like everyone else... dreaming of working for the Elon Duck at Nestla. But everyone is disappearing, flying away like flying cars."	TRUE	Right	Normal	FALSE	0	FALSE
Meet Donald	1	3	Day	Main Duck	2	"Uh, what do you mean that-"	TRUE	Left	Normal	FALSE	0	FALSE
Meet Donald	1	3	Day	Donald	5	We just hired someone last week. Now they're gone. The duck we hired the week prior is gone too.	TRUE	Right	Normal	FALSE	0	FALSE
Meet Donald	1	3	Day	Donald	5	And yesterday I could've sworn I saw blood in the manufacturing room. Are we really making flying cars?	TRUE	Right	Normal	FALSE	0	FALSE
Meet Donald	1	3	Day	Main Duck	2	What is this duck talking about? I should probably just leave.	TRUE	Left	Italics	FALSE	0	FALSE
Meet Donald	1	3	Day	Main Duck	2	"Uh, I don't know. But it was nice meeting you? I'm just gonna... go now."	TRUE	Left	Normal	FALSE	0	FALSE
Meet Donald	1	3	Day	Donald	5	Try to stay alive duck.	TRUE	Right	Normal	FALSE	0	TRUE
Meet Donald	1	3	Day	Main Duck	2	That's not ominous at all	TRUE	Left	Italics	FALSE	0	TRUE
Meet Quackson	1	3	Day	Main Duck	2	"Argh, I really REALLY got to use the restroom. Why are all the open stalls so dirty?!"	TRUE	Left	Italics	FALSE	0	FALSE
Meet Quackson	1	3	Day	Main Duck	2	Let me see if this first stall is open.	TRUE	Left	Italics	FALSE	0	FALSE
Meet Quackson	1	3	Day	Main Duck	2	(Knocks on stall door) Hello? Anyone there?	TRUE	Left	Normal	FALSE	0	FALSE
Meet Quackson	1	3	Day	Quackson	6	What the quack are you doing? Find a different stall.	TRUE	Right	Normal	FALSE	0	FALSE
Meet Quackson	1	3	Day	Main Duck	2	I can't use the other stalls! Have you seen the sorry state they're in?	TRUE	Left	Normal	FALSE	0	FALSE
Meet Quackson	1	3	Day	Quackson	6	So? I'm busy.	TRUE	Right	Normal	FALSE	0	FALSE
Meet Quackson	1	3	Day	Main Duck	2	Wait... is that Angry Ducks?	TRUE	Left	Normal	FALSE	0	FALSE
Meet Quackson	1	3	Day	Quackson	6	No.	TRUE	Right	Normal	FALSE	0	FALSE
Meet Quackson	1	3	Day	Quackson	6	(Flushes toilet).	TRUE	Right	Normal	FALSE	0	FALSE
Meet Quackson	1	3	Day	Quackson	6	Stall is taken!	TRUE	Right	Normal	FALSE	0	FALSE
Meet Quackson	1	3	Day	Main Duck	2	...I know.	TRUE	Left	Normal	FALSE	0	FALSE
Eggwin's Retrieval Request	1	0	Day	Eggwin	3	"Main Duck, could you ask Duckette for the latest reports? I'll need to review and submit them to Elon Duck by the end of the day."	TRUE	Right	Normal	FALSE	0	FALSE
Eggwin's Retrieval Request	1	0	Day	Main Duck	2	Quack! You got it!	TRUE	Left	Normal	FALSE	0	FALSE
Ask Duckette for Retrieval Item	1	0	Day	Duckette	4	"Oh, hello there! Can I help you with something?"	TRUE	Right	Normal	TRUE	0	FALSE
Ask Duckette for Retrieval Item_Round1_Option1	1	0	Day	None	0	I need something from you.	TRUE	Right	Normal	FALSE	1	FALSE
Ask Duckette for Retrieval Item_Round1_Response1	1	0	Day	Duckette	4	What do you need from me?	TRUE	Right	Normal	TRUE	1	FALSE
Ask Duckette for Retrieval Item_Round1_Option2	1	0	Day	None	0	You look impeckable today.	TRUE	Right	Normal	FALSE	2	FALSE
Ask Duckette for Retrieval Item_Round1_Response2	1	0	Day	Duckette	4	Eggscuse me?	TRUE	Right	Normal	FALSE	2	FALSE
Ask Duckette for Retrieval Item_Round1_Option3	1	0	Day	None	0	Can I help you with something?	TRUE	Right	Normal	FALSE	3	FALSE
Ask Duckette for Retrieval Item_Round1_Response3	1	0	Day	Duckette	4	Eggscuse me?	TRUE	Right	Normal	FALSE	3	FALSE
Ask Duckette for Retrieval Item_Round1_Option4	1	0	Day	None	0	Wanna go out?	TRUE	Right	Normal	FALSE	4	FALSE
Ask Duckette for Retrieval Item_Round1_Response4	1	0	Day	Duckette	4	Eggscuse me?	TRUE	Right	Normal	FALSE	4	FALSE
Ask Duckette for Retrieval Item_Round2_Option1	1	0	Day	None	0	I need a mechanical part from you.	TRUE	Right	Normal	FALSE	1	FALSE
Ask Duckette for Retrieval Item_Round2_Response1	1	0	Day	Duckette	4	"Umm, what? I don't have that."	TRUE	Right	Normal	FALSE	1	FALSE
Ask Duckette for Retrieval Item_Round2_Option2	1	0	Day	None	0	I need your number.	TRUE	Right	Normal	FALSE	2	FALSE
Ask Duckette for Retrieval Item_Round2_Response2	1	0	Day	Duckette	4	"Umm, what? I don't have that."	TRUE	Right	Normal	FALSE	2	FALSE
Ask Duckette for Retrieval Item_Round2_Option3	1	0	Day	None	0	I need the report.	TRUE	Right	Normal	FALSE	3	FALSE
Ask Duckette for Retrieval Item_Round2_Response3	1	0	Day	Duckette	4	"Oh right, the report that's due today! I have it right here."	TRUE	Right	Normal	FALSE	3	FALSE
Ask Duckette for Retrieval Item_Round2_Option4	1	0	Day	None	0	I need some quack.	TRUE	Right	Normal	FALSE	4	FALSE
Ask Duckette for Retrieval Item_Round2_Response4	1	0	Day	Duckette	4	"Umm, what? I don't have that."	TRUE	Right	Normal	FALSE	4	FALSE
Give Requested Item to Eggwin	1	0	Day	Eggwin	3	Thanks for the report! I'll get it to Elon Duck right away!	TRUE	Right	Normal	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Main Duck	2	"Wow, it's already nighttime! My first day flew by fast."	TRUE	Left	Italics	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Main Duck	2	"Everyone's already gone too, even Duckette. Might as well pack up then and get ready to..."	TRUE	Left	Italics	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Main Duck	2	WAIT! Everyone is gone! That means... I have the whole office to myself! I've always wanted to explore the Nestla Office at night.	TRUE	Left	Italics	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Main Duck	2	"I can get all the drinks I want from the vending machine, I can finally use the quacking bathroom, and I can take a peep at Duckette's desk. And there's no one here to stop me!"	TRUE	Left	Italics	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Janitor	7	Please leave.	TRUE	Right	Normal	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Main Duck	2	AHH! Where did you come from?	TRUE	Left	Normal	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Janitor	7	Our closing time is 7:00pm. Please leave so I can clean.	TRUE	Right	Normal	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Main Duck	2	"Uhh well, can you make one exception? Pretty please? Just give me five minutes?"	TRUE	Left	Normal	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Janitor	7	No. Leave or else I'll have to kick you out.	TRUE	Right	Normal	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Main Duck	2	Looks like they're not changing their mind anytime soon. I guess they're pretty strict with their closing hours.	TRUE	Left	Italics	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Main Duck	2	"Fineee, have a good night."	TRUE	Left	Normal	FALSE	0	FALSE
Try to Stay Overnight	1	1	Night	Janitor	7	Goodnight. I encourage you to remember our closing hours next time.	TRUE	Right	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Main Duck	2	I finished my first assignment!	TRUE	Left	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Eggwin	3	"That's egg-cellent! After all, you'll be working with them here at Nestla, so it's best to make those connections now!"	TRUE	Right	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Main Duck	2	"Connections... Oh flapping quack, Duckette didn't even remember me! That's not even close to a connection!"	TRUE	Left	Italics	FALSE	0	FALSE
Task Tutorial	1	4	Day	Eggwin	3	"And you're in luck, I already have your next assignment!"	TRUE	Right	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Main Duck	2	What if I'm stuck working with an egg-centric like Donald? He gave me the creeps. My feathers stood on end from the weird nonsense he was squawking.	TRUE	Left	Italics	FALSE	0	FALSE
Task Tutorial	1	4	Day	Eggwin	3	"Let me check my duckument here. Hmm, seems like you specialized in mechanical engineering at Purduck University, so you'll probably be suited for CADs."	TRUE	Right	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Main Duck	2	"Hmm, I have to find a way to work with Duckette! If we work together, there's no way she could forget a duck like me: hardworking, smart,..."	TRUE	Left	Italics	FALSE	0	FALSE
Task Tutorial	1	4	Day	Eggwin	3	"Duckette will also need the latest blueprints from the team, as well as the reports from testing the latest flying car model. And I believe Donald needs some of the parts that were just shipped today..."	TRUE	Right	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Eggwin	3	"With no other duck available, could I trouble you with deliveries too?"	TRUE	Right	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Main Duck	2	I'll be working with Duckette?	TRUE	Left	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Eggwin	3	"Uhh, were you even listening to me?"	TRUE	Right	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Main Duck	2	Heh... sorry.	TRUE	Left	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Eggwin	3	"I get it. It's your first day, and you're not the first duck to flap out about working at Nestla. But it's important to finish these tasks on time."	TRUE	Right	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Eggwin	3	Your tasks today should be pretty simple. We need a finished CAD and some deliveries sent out by the end of the day.	TRUE	Right	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Main Duck	2	"Yes, sir! I'll get straight to work."	TRUE	Left	Normal	FALSE	0	FALSE
Task Tutorial	1	4	Day	Main Duck	2	Duckette here I come to save the day!	TRUE	Left	Italics	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Main Duck	2	"Another new day, another chance to win Duckette over."	TRUE	Left	Italics	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Main Duck	2	"Our first conversation was... wobbly, at best, but this time will be better. I'm sure of it!"	TRUE	Left	Italics	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Main Duck	2	"Oh, there she is now! Aww, look at her already typing away. She never was the one to fowl up her responsibilities."	TRUE	Left	Italics	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Main Duck	2	"Good morning Duckette, I hope you are having a ducky-tastic day!"	TRUE	Left	Normal	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Duckette	4	"...Thanks, whoever you are."	TRUE	Right	Normal	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Main Duck	2	WHAT?! How could she have NOT liked that? It took me the whole ride here to figure out the best way to greet her.	TRUE	Left	Italics	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Main Duck	2	She didn't even look at me. Is she actually working or-	TRUE	Left	Italics	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Main Duck	2	SQUAWK! Or maybe she's talking to someone!	TRUE	Left	Italics	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Duckette	4	"Um, can I help you? You've been staring for quite a bit."	TRUE	Right	Normal	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Main Duck	2	"O-Oh, I was just wondering what you're working on today. I have another CAD I need to finish up."	TRUE	Left	Normal	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Duckette	4	"I'm just responding to emails right now, nothing fancy."	TRUE	Right	Normal	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Duckette	4	Good luck with the CADs.	TRUE	Right	Normal	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Main Duck	2	"Hmm, ""just"" emails? We'll see about that."	TRUE	Left	Italics	FALSE	0	FALSE
Eyes for Duckette	2	1	Day	Main Duck	2	I'll be sure to impress Duckette by quacktively tackling my tasks.	TRUE	Left	Italics	FALSE	0	FALSE
Duckette's Retrieval Request	2	0	Day	Duckette	4	"Oh, excuse me, intern! If you're on your way to the manufacturing room, can you ask Eggwin for the latest quality test results on the flying cars? I'd really appreciate it."	TRUE	Right	Normal	FALSE	0	FALSE
Duckette's Retrieval Request	2	0	Day	Main Duck	2	Quack! You got it!	TRUE	Left	Normal	FALSE	0	FALSE
Duckette's Retrieval Request	2	0	Day	Main Duck	2	"Duckette needs me! But... I'm not an intern, I'm a junior mechanical engineer here. Just you wait Duckette, I'll prove it to you!"	TRUE	Left	Italics	FALSE	0	FALSE
Ask Eggwin for Retrieval Item	2	0	Day	Eggwin	3	"Ah, Main Duck! It's you! How can I help you today?"	TRUE	Right	Normal	TRUE	0	FALSE
Ask Eggwin for Retrieval Item_Round1_Option1	2	0	Day	None	0	I need my paycheck.	TRUE	Right	Normal	FALSE	1	FALSE
Ask Eggwin for Retrieval Item_Round1_Response1	2	0	Day	Eggwin	3	Huh? Is that really what you came here for?	TRUE	Right	Normal	FALSE	1	FALSE
Ask Eggwin for Retrieval Item_Round1_Option2	2	0	Day	None	0	I need my lunch break.	TRUE	Right	Normal	FALSE	2	FALSE
Ask Eggwin for Retrieval Item_Round1_Response2	2	0	Day	Eggwin	3	Huh? Is that really what you came here for?	TRUE	Right	Normal	FALSE	2	FALSE
Ask Eggwin for Retrieval Item_Round1_Option3	2	0	Day	None	0	I need the latest flying car.	TRUE	Right	Normal	FALSE	3	FALSE
Ask Eggwin for Retrieval Item_Round1_Response3	2	0	Day	Eggwin	3	Huh? Is that really what you came here for?	TRUE	Right	Normal	FALSE	3	FALSE
Ask Eggwin for Retrieval Item_Round1_Option4	2	0	Day	None	0	I need the test results from you.	TRUE	Right	Normal	FALSE	4	FALSE
Ask Eggwin for Retrieval Item_Round1_Response4	2	0	Day	Eggwin	3	"Oh, this is for Duckette isn't it? Which test results does she need?"	TRUE	Right	Normal	TRUE	4	FALSE
Ask Eggwin for Retrieval Item_Round2_Option1	2	0	Day	None	0	Quality of employee's work output.	TRUE	Right	Normal	FALSE	1	FALSE
Ask Eggwin for Retrieval Item_Round2_Response1	2	0	Day	Eggwin	3	"I'm sorry, I don't have those test results."	TRUE	Right	Normal	FALSE	1	FALSE
Ask Eggwin for Retrieval Item_Round2_Option2	2	0	Day	None	0	Quality of the flying cars.	TRUE	Right	Normal	FALSE	2	FALSE
Ask Eggwin for Retrieval Item_Round2_Response2	2	0	Day	Eggwin	3	"You're in luck, I just finished collecting those results! Here you go."	TRUE	Right	Normal	FALSE	2	FALSE
Ask Eggwin for Retrieval Item_Round2_Option3	2	0	Day	None	0	Quality of Eggwin's pristine feathers.	TRUE	Right	Normal	FALSE	3	FALSE
Ask Eggwin for Retrieval Item_Round2_Response3	2	0	Day	Eggwin	3	" I'm sorry, I don't have those test results."	TRUE	Right	Normal	FALSE	3	FALSE
Ask Eggwin for Retrieval Item_Round2_Option4	2	0	Day	None	0	Quality of the machines.	TRUE	Right	Normal	FALSE	4	FALSE
Ask Eggwin for Retrieval Item_Round2_Response4	2	0	Day	Eggwin	3	" I'm sorry, I don't have those test results."	TRUE	Right	Normal	FALSE	4	FALSE
Give Requested Item to Duckette	2	0	Day	Duckette	4	I see you got the test results! Thank you!	TRUE	Right	Normal	FALSE	0	FALSE
Give Requested Item to Duckette	2	0	Day	Main Duck	2	And the damsel in distress was saved... thanks to the duck knight in shining feathers!	TRUE	Left	Italics	FALSE	0	FALSE
Selecting a Drink for Duckette	2	0	Day	Main Duck	2	"Now, what drink would Duckette like?"	TRUE	Left	Italics	FALSE	0	FALSE
Drink Choice Confirmation for Duckette	2	0	Day	Main Duck	2	Should I pick this one?	TRUE	Left	Italics	FALSE	0	FALSE
Drink Choice Selected for Duckette	2	0	Day	Main Duck	2	I'll pick this one then. I hope Duckette likes it!	TRUE	Left	Italics	FALSE	0	FALSE
If Main Duck Chose Right Drink (Peepsi)	2	0	Day	Main Duck	2	Hello Duckette! This is for you.	TRUE	Left	Normal	FALSE	0	FALSE
If Main Duck Chose Right Drink (Peepsi)	2	0	Day	Duckette	4	Oh? Is that Peepsi?	TRUE	Right	Normal	FALSE	0	FALSE
If Main Duck Chose Right Drink (Peepsi)	2	0	Day	Main Duck	2	Yes! Do you... not like Peepsi?	TRUE	Left	Normal	FALSE	0	FALSE
If Main Duck Chose Right Drink (Peepsi)	2	0	Day	Duckette	4	...	TRUE	Right	Normal	FALSE	0	FALSE
If Main Duck Chose Right Drink (Peepsi)	2	0	Day	Main Duck	2	"Ah, I can't read that face! What is swimming in her thoughts right now?"	TRUE	Left	Italics	FALSE	0	FALSE
If Main Duck Chose Right Drink (Peepsi)	2	0	Day	Duckette	4	I'm surprised you didn't get me Quack-a-Cola. I always preferred Peepsi.	TRUE	Right	Normal	FALSE	0	FALSE
If Main Duck Chose Right Drink (Peepsi)	2	0	Day	Duckette	4	"Thank you. Main Duck, right?"	TRUE	Right	Normal	FALSE	0	FALSE
If Main Duck Chose Right Drink (Peepsi)	2	0	Day	Main Duck	2	SHE KNOWS MY NAME!	TRUE	Left	Italics	FALSE	0	FALSE
If Main Duck Chose Right Drink (Peepsi)	2	0	Day	Main Duck	2	That's one affection point! There's still a waddle of hope for me.	TRUE	Left	Italics	FALSE	0	FALSE
If Main Duck Chose Wrong Drink for Duckette	2	0	Day	Main Duck	2	Hello Duckette! This is for you.	TRUE	Left	Normal	FALSE	0	FALSE
If Main Duck Chose Wrong Drink for Duckette	2	0	Day	Duckette	4	"Thanks intern, just leave it on my desk."	TRUE	Right	Normal	FALSE	0	FALSE
If Main Duck Chose Wrong Drink for Duckette	2	0	Day	Main Duck	2	She barely looked at the drink!	TRUE	Left	Italics	FALSE	0	FALSE
If Main Duck Chose Wrong Drink for Duckette	2	0	Day	Main Duck	2	"Oh Duckette, when will I ever be more than an intern to you?"	TRUE	Left	Italics	FALSE	0	FALSE
Hack into Duckette's Computer Part I	2	1	Night	Main Duck	2	"Finally, all the ducks are gone."	TRUE	Left	Italics	FALSE	0	FALSE
Hack into Duckette's Computer Part I	2	1	Night	Main Duck	2	"I didn't have much luck catching Duckette's attention today, so my only beakon of hope is to see who she was emailing in the morning."	TRUE	Left	Italics	FALSE	0	FALSE
Hack into Duckette's Computer Part I	2	1	Night	Main Duck	2	Desperate times call for desperate measures! Time to find Duckette's cubicle.	TRUE	Left	Italics	FALSE	0	FALSE
Hack into Duckette's Computer Part II	2	2	Night	Main Duck	2	Quack! I was praying she would forget to sign out. I need to find out what her password is.	TRUE	Left	Italics	FALSE	0	FALSE
Hack into Duckette's Computer Part III	2	3	Night	Main Duck	2	I'm in! Time to open her emails...	TRUE	Left	Normal	FALSE	0	FALSE
Hack into Duckette's Computer Part III	2	3	Night	Main Duck	2	"Looks like there is an email from Elon Duck asking for the latest reports, so that's why she asked for my help."	TRUE	Left	Normal	FALSE	0	FALSE
Hack into Duckette's Computer Part III	2	3	Night	Main Duck	2	...And there's an email from a Manfred? Who is that? I've never seen them in the office.	TRUE	Left	Normal	FALSE	0	FALSE
Hack into Duckette's Computer Part III	2	3	Night	Main Duck	2	IS SHE ALREADY IN LOVE WITH SOMEONE ELSE?!	TRUE	Left	Normal	FALSE	0	FALSE
Hack into Duckette's Computer Part III	2	3	Night	Main Duck	2	"No, no, it can't be! Nestla is huge! I probably haven't met everyone yet. Duckette is one popular duck, after all."	TRUE	Left	Normal	FALSE	0	FALSE
Hack into Duckette's Computer Part III	2	3	Night	Main Duck	2	Let's just open this email up just in case...	TRUE	Left	Normal	FALSE	0	FALSE
Hack into Duckette's Computer Part III	2	3	Night	Janitor	7	(footsteps echo in the distance)	TRUE	Right	Normal	FALSE	0	FALSE
Hack into Duckette's Computer Part III	2	3	Night	Main Duck	2	"Quack, it's the Janitor! It must be closing hours now!"	TRUE	Left	Normal	FALSE	0	FALSE
Hack into Duckette's Computer Part III	2	3	Night	Main Duck	2	"I already got in trouble yesterday, no need to keep that streak."	TRUE	Left	Normal	FALSE	0	FALSE
Hack into Duckette's Computer Part III	2	3	Night	Main Duck	2	I'll leave for the day.	TRUE	Left	Normal	FALSE	0	FALSE
Elon Duck is in the Office	3	1	Day	NPD 1	8	Have you heard? He's coming today!	TRUE	Right	Normal	FALSE	0	FALSE
Elon Duck is in the Office	3	1	Day	NPD 2	9	"No quacking way, are you pulling my feathers?"	TRUE	Right	Normal	FALSE	0	FALSE
Elon Duck is in the Office	3	1	Day	NPD 1	8	"No, it's true! He's finally going to show up in the office!"	TRUE	Right	Normal	FALSE	0	FALSE
Elon Duck is in the Office	3	1	Day	NPD 3	10	"Oh my duck, I should ask for his signature! I bet all the ducks at home will swoon and drown once they see proof that I get the honor of working for him."	TRUE	Right	Normal	FALSE	0	FALSE
Elon Duck is in the Office	3	1	Day	NPD 2	9	Y-You want that?!	TRUE	Right	Normal	FALSE	0	FALSE
Elon Duck is in the Office	3	1	Day	Main Duck	2	"Huh, what is going on? Why is everyone in the lobby?"	TRUE	Left	Italics	FALSE	0	FALSE
Elon Duck is in the Office	3	1	Day	Main Duck	2	"Oh, there's Eggwin in the crowd too! I should ask him what's going on"	TRUE	Left	Italics	FALSE	0	FALSE
Elon Duck is in the Office	3	1	Day	Eggwin	3	"Now, now, I understand the excitement, but as your superior I think we should all return to our office and... Main Duck, you're here!"	TRUE	Right	Normal	FALSE	0	FALSE
